id,name,unit_name,rarity,race,role,cost,hp,atk,defense,atk_speed,atk_range,max_level,skills,icon
150401,Artemis,Goddess of the Hunt,SSS,Elf Race,Archer,1,7200,480,240,100,5,30,Moonlit Arrow Rain; Eagle-Moon Piercing Hunt; Hunt Pact Resonance; Exclusive passive; Exclusive passive; Celestial Patrol Hunt; Exclusive passive; Exclusive passive; Additional Blessing; Hunter God Mark,icons/Icons/HeadIcon/Icon_Head_150401.png
150501,Athena,Goddess of Wisdom,SSS,Human Race,Mage,1,7200,480,240,100,1,30,Sanctuary; Holy Spirit Strike; Oathkeeper's Holy Blessing; Divine Spear Soul Judgment; Exclusive passive; Exclusive passive; Exclusive passive; Exclusive passive; Additional Blessing; Holy Shield · Divine Blessing,icons/Icons/HeadIcon/Icon_Head_150501.png
140501,Alice,Alice,SS,-,Archer,1,2700,180,90,100,4,200,Alice Rune,icons/Icons/HeadIcon/Icon_Head_140501.png
410501,Deca Crimsonflame,KaKa,SS,-,Assassin,1,2700,180,90,100,1,0,Kakashi Rune,icons/Icons/HeadIcon/Icon_Head_410501.png
140502,Furina Luminous,FuFu,SS,-,Assistance,1,2700,180,90,100,4,200,Freyja Rune,icons/Icons/HeadIcon/Icon_Head_140502.png
410101,Ice Blue Snowbud,Tidecaller,SS,Plant Race,Assistance,1,5400,360,180,100,4,200,Tidal Summon; Exclusive passive; Exclusive passive; Exclusive passive; Azure Raging Waves; Exclusive passive; Surging Spirit Tide; Tide Spirit Guardian; career enhancement; career enhancement; career enhancement; career enhancement; career enhancement; Additional Blessing,icons/Icons/HeadIcon/heroIcon_001.png
120603,Kazres·Darkblade,Sword Demon,SS,Demon Race,Mage,1,5400,360,180,100,1,200,Blade Storm; Exclusive passive; Exclusive passive; Exclusive passive; Demonic Shadow Multiplier; Exclusive passive; Soul-Terrifying Demon Slash; Soul-Devouring Demon Slash; career enhancement; career enhancement; career enhancement; career enhancement; career enhancement; Additional Blessing,icons/Icons/HeadIcon/Icon_Head_2011.png
250101,Lei Yan,GreatSage,SS,Krock,Control,1,990,66,33,100,1,20,Golden Cudgel,icons/Icons/HeadIcon/Icon_Head_210501.png
440201,Lia,Flower Spirit,SS,Plant Race,Warrior,1,5400,360,180,100,4,200,Floral Spirit Blessing; Exclusive passive; Exclusive Passive; Exclusive passive; Bountiful Healing Realm; Exclusive Passive; Endless Vitality; Attack-Defense Synergy; career enhancement; career enhancement; career enhancement; career enhancement; career enhancement; Additional Blessing,icons/Icons/HeadIcon/heroIcon_012.png
110604,Livia·Flameveil,Red Queen,SS,Demon Race,Assistance,1,5400,360,180,100,8,200,Flame Storm; Exclusive passive; Exclusive Passive; Exclusive passive; Infernal End; Exclusive Passive; Infernal Fury; Blazing Frenzy; career enhancement; career enhancement; career enhancement; career enhancement; career enhancement; Additional Blessing,icons/Icons/HeadIcon/Icon_Head_1012.png
440401,Mitia,Catwoman,SS,Orc Race,Assassin,1,5400,360,180,100,1,200,Hunt; Exclusive passive; Exclusive Passive; Exclusive passive; Killing Time; Exclusive Passive; Hunt Time; Rapid Pursuit Kill; career enhancement; career enhancement; career enhancement; career enhancement; career enhancement; Additional Blessing,icons/Icons/HeadIcon/heroIcon_008.png
450101,Rain Flame Soul,Dragon Warrior,SS,Dragon Race,Mage,1,5400,360,180,100,1,200,Dragon Soul Link; Exclusive passive; Exclusive passive; Exclusive passive; Dragon Breath Enhancement; Exclusive Passive; Dragon Might Intimidation; Dragon Breath Protection; career enhancement; career enhancement; career enhancement; career enhancement; career enhancement; Additional Blessing,icons/Icons/HeadIcon/heroIcon_450101.png
130603,Selina·Frostcharm,Succubus,SS,Demon Race,Assassin,1,5400,360,180,100,4,200,Fatal Temptation; Exclusive passive; Exclusive Passive; Exclusive passive; Heart-Charming Bewitchment; Exclusive Passive; Mind-Charming Chaos; Overflowing Charm Breath; career enhancement; career enhancement; career enhancement; career enhancement; career enhancement; Additional Blessing,icons/Icons/HeadIcon/Icon_Head_3011.png
430301,Veliana Purple Flame,Light Archer,SS,Elf Race,Archer,1,5400,360,180,100,5,200,Demon-Banishing Holy Arrow; Exclusive passive; Exclusive Passive; Exclusive passive; Divine-Demonic Hunt; Exclusive Passive; Advanced Sharpshooting; Overclock Frenzy; career enhancement; career enhancement; career enhancement; career enhancement; career enhancement; Additional Blessing,icons/Icons/HeadIcon/heroIcon_006.png
410301,Cain,Sword Knight,S,-,Summon,1,2700,180,90,100,1,20,Magic Sword Knight Rune,
