id,name,unit_name,rarity,race,role,cost,hp,atk,defense,atk_speed,atk_range,max_level,skills,icon
840117,Abyssal Shadow,Abyssal Shadow,A,-,-,1,30000,4780,1000,100,4,50,Shadow Water Bolt; Shadow Twin; Abyssal Toxic Mist,icons/Icons/HeadIcon/Icon_Head_840107.png
840123,Corrosive Empress,Corrosive Empress,A,-,-,1,30000,4780,1000,100,4,50,Devour; Split; Regeneration; Regeneration,icons/Icons/HeadIcon/Icon_Head_840123.png
840126,Corrupted Fungal Lord,Corrupted Fungal Lord,A,-,-,1,30000,4780,1000,100,1,50,Spore Burst; Frenzied Regeneration; Spore Proliferation,icons/Icons/HeadIcon/Icon_Head_840126.png
840101,Crab Emperor,Crab Emperor,A,-,-,1,30000,4780,1000,100,1,50,Shell Up; Defense Up; Crab Legion,icons/Icons/HeadIcon/Icon_Head_840111.png
831201,Crab King,Crab King,A,-,-,1,144000,2900,300,100,1,50,Shell Up; Anti-injury force field,icons/Icons/HeadIcon/Icon_Head_830201.png
190301,Darkflame Dragonlord·Serregos,Darkflame Dragonlord·Serregos,A,-,-,1,30000,4780,1000,100,1,50,Weakness Curse; Eternal Nightmare; Death Curse,icons/Icons/HeadIcon/Icon_Head_190301.png
840105,Deep Sea Fiend-Arm,Deep Sea Fiend-Arm,A,-,-,1,60000,4780,1000,100,10,50,Tentacle Smash; Vengeance; Hardened Hide,icons/Icons/HeadIcon/Icon_Head_840115.png
840115,Deep Sea Touch,Deep Sea Touch,A,-,-,1,60000,4780,1000,100,10,50,Attacked by the tide; tidal erosion; Tentacles breed,icons/Icons/HeadIcon/Icon_Head_840105.png
840107,Deepsea Shadow,Deepsea Shadow,A,-,-,1,30000,4780,1000,100,4,50,Shadow Water Bolt; Shadow Twin; Abyssal Toxic Mist,icons/Icons/HeadIcon/Icon_Head_840107.png
190101,Demonic Ancient Tree Urosax,Demonic Ancient Tree Urosax,A,-,-,1,30000,4780,1000,100,1,50,Summon Treant; Earth Nourishment; Return to Spring Soil,icons/Icons/HeadIcon/Icon_Head_190101.png
840128,Demonic Eye of the End,Demonic Eye of the End,A,-,-,1,60000,4780,1000,100,8,50,Ion Ray; Disintegration Ray; Soul Siphon,icons/Icons/HeadIcon/Icon_Head_840128.png
840127,Dread of the Dark Sea,Dread of the Dark Sea,A,-,-,1,30000,4780,1000,100,4,50,Shadow Water Bolt; Shadow Twin; Abyssal Toxic Mist,icons/Icons/HeadIcon/Icon_Head_840127.png
840108,Eye of the Rift,Eye of the Rift,A,-,-,1,60000,4780,1000,100,8,50,Ion Ray; Disintegration Ray; Soul Siphon,icons/Icons/HeadIcon/Icon_Head_840108.png
840118,Eye of the Void,Eye of the Void,A,-,-,1,60000,4780,1000,100,4,50,Ion Ray; Disintegration Ray; Soul Siphon,icons/Icons/HeadIcon/Icon_Head_840108.png
