id,name,unit_name,playable,rarity,rarity_name,race,role,cost,hp,atk,defense,atk_speed,atk_range,move_speed,crit,crit_dmg,mp,mp_regen,max_level,skills,passives
150401,Artemis,Goddess of the Hunt,True,SSS,Immortal,Elf Race,Archer,1,7200,480,240,100,5,10,0,15000,0,20,30,Moonlit Arrow Rain; Eagle-Moon Piercing Hunt; Hunt Pact Resonance; Exclusive passive; Exclusive passive; Celestial Patrol Hunt; Exclusive passive; Exclusive passive; Additional Blessing,Hunter God Mark
150501,Athena,Goddess of Wisdom,True,SSS,Immortal,Human Race,Mage,1,7200,480,240,100,1,10,0,15000,100,20,30,Sanctuary; Holy Spirit Strike; Oathkeeper's Holy Blessing; Divine Spear Soul Judgment; Exclusive passive; Exclusive passive; Exclusive passive; Exclusive passive; Additional Blessing,Holy Shield · Divine Blessing
140501,Alice,Alice,True,SS,Mythical,-,Archer,1,2700,180,90,100,4,10,0,15000,100,20,200,Alice Rune,
410501,Deca Crimsonflame,KaKa,True,SS,Mythical,-,Assassin,1,2700,180,90,100,1,10,0,15000,100,20,0,Kakashi Rune,
140502,Furina Luminous,FuFu,True,SS,Mythical,-,Assistance,1,2700,180,90,100,4,10,0,15000,100,20,200,Freyja Rune,
2105011,Great Sage's Clone,Great Sage's Clone,False,SS,Mythical,-,Control,1,990,66,33,100,1,5,0,15000,10000,0,20,,
2105012,Great Sage's Clone,Great Sage's Clone,False,SS,Mythical,-,Control,1,990,66,33,100,1,5,0,15000,10000,0,20,Golden Cudgel,
210501,GreatSage,GreatSage,False,SS,Mythical,Krock,Control,1,990,66,33,100,1,5,0,15000,200,20,20,Golden Cudgel,
410101,Ice Blue Snowbud,Tidecaller,True,SS,Mythical,Plant Race,Assistance,1,5400,360,180,100,4,10,0,15000,100,20,200,Tidal Summon; Exclusive passive; Exclusive passive; Exclusive passive; Azure Raging Waves; Exclusive passive; Surging Spirit Tide; Tide Spirit Guardian; career enhancement; career enhancement; career enhancement; career enhancement; career enhancement; Additional Blessing,
410503,Kaka Clone,Kaka Clone,False,SS,Mythical,-,Assassin,1,2700,180,90,100,1,0,0,15000,100,20,0,,
